"","r (Sp)","p (Sp)","adj.Spear.Pval","distCor","SigNegCorr","cMI_min","t_opt","ratio","meth_regulated","logicSc","numericSc"
"IFT140",-0.0906384377422389,0.177436056182726,0.349301307662321,0.121417432218112,FALSE,0.00335466153627126,"0.75",0.252270263271208,FALSE,FALSE,-673.4
"IFT172",-0.0440693931977712,0.512650540190597,0.684784702012629,0.102295447882981,FALSE,0.00579797339767177,"0.18",0.536118595031718,FALSE,FALSE,-6
"IFT22",0.0193347880639973,0.774009587787593,0.875542176455249,0.0875540534257467,FALSE,0.00343502789121794,"0.41",0.54801398173971,FALSE,FALSE,-14
"IFT27",0.0839303255261096,0.211845288061905,0.393760999002481,0.136531207103713,FALSE,0.000270051640338326,"0.03",0.678942902232616,FALSE,FALSE,0
"IFT43",0.0538646830687189,0.423460506369276,0.611060405077858,0.105776418255834,FALSE,0.000218949513437549,"0.03",0.300263010408191,FALSE,FALSE,0
"IFT46",-0.0740755169022337,0.270687489239205,0.461883588138858,0.128211277262295,FALSE,0.00148722517455046,"0.16",0.599712506425253,FALSE,FALSE,0
"IFT57",-0.0905404813163912,0.177906825320389,0.349717114868073,0.227407189830754,FALSE,0.00520184482239447,"0.47",0.139962679892514,FALSE,FALSE,0
"IFT80",0.0777806574206684,0.247379174717685,0.434979968909915,0.114391798779047,FALSE,4.28012423846991e-05,"0.04",0.308460059065528,FALSE,FALSE,0
"IFT81",-0.0165131499212217,0.806282370155612,0.895886189027651,0.111226153705052,FALSE,0.000143339457549138,"0.05",0.518603177921332,FALSE,FALSE,0
"IFT88",-0.50257612521056,1.11022302462516e-15,6.92450212395838e-14,0.497671983990272,TRUE,0.015200256002566,"0.25",0.26286375178955,FALSE,FALSE,0
"IGF1",-0.230394754746932,0.000524416568919772,0.00392496667582621,0.232672208223544,FALSE,0.00541904661400102,"0.69",0.301301250861792,FALSE,FALSE,-173.2
"IGF1R",-0.118003649452418,0.0786767794890419,0.197533588291819,0.147820119752143,FALSE,0.00706547746607531,"0.58",0.380800593794297,FALSE,FALSE,-48.6
"IGF2",-0.215130483478115,0.00122728732547506,0.0078201421582162,0.237583872332151,FALSE,0.0141751692481937,"0.17",0.313668118687956,FALSE,TRUE,237
"IGF2-AS",-0.216046074564312,0.00116812051420179,0.00753683887324065,0.222733599546916,FALSE,0.0180237383807435,"0.35",0.270823241514108,FALSE,FALSE,-12
"IGF2BP1",-0.198833149463054,0.00286034885090047,0.0156317998397843,0.230705500932861,FALSE,0.0062268714426285,"0.46",0.132867141173007,FALSE,TRUE,208.4
"IGF2BP2",-0.0182358897611686,0.786535613992565,0.883935430703597,0.0742060956591012,FALSE,7.22365726028017e-05,"0.03",0.613962948980099,FALSE,FALSE,0
"IGF2BP3",0.00413261931396383,0.951067246006093,0.976263247003853,0.101784954467122,FALSE,0.00180838653276958,"0.14",0.382303159644536,FALSE,FALSE,0
"IGF2R",-0.0757197384407271,0.260165736050857,0.449418771478239,0.111593894409813,FALSE,0.00010702603213046,"0.06",0.723509036181782,FALSE,FALSE,0
"IGFALS",-0.360139885679424,3.11853129986162e-08,6.72052046851348e-07,0.38556379222163,FALSE,0.0100793149141429,"0.61",0.247814282960592,FALSE,FALSE,-538.8
"IGFBP1",-0.157091348234846,0.0189108836155814,0.0688241729115384,0.167728725194548,FALSE,0.00980424579377546,"0.26",0.282534273167921,FALSE,FALSE,-6
"IGFBP2",-0.340800866562148,1.81177596703108e-07,3.37930618660797e-06,0.412349116828345,FALSE,0.0100909509965226,"0.27",0.143692913547969,FALSE,FALSE,-2
"IGFBP3",-0.247669721762556,0.000186905457757014,0.0016640286522563,0.252180458601243,FALSE,0.0242614134442267,"0.66",0.490722576781923,FALSE,TRUE,-33.6
"IGFBP4",0.116143420966137,0.0835400542736588,0.20606197107719,0.152734648118935,FALSE,0.000778585046768324,"0.03",0.561869927476768,FALSE,FALSE,0
"IGFBP5",-0.17780272667393,0.00777981053767274,0.0345103039719221,0.185151652968682,FALSE,0.0230186013457424,"0.43",0.477158081125542,FALSE,TRUE,-211
"IGFBP6",0.0798517928562772,0.23497622219106,0.420681664545083,0.127808215916583,FALSE,0.000585160827679378,"0.1",0.502295799704312,FALSE,FALSE,0
"IGFBP7",-0.13486355952081,0.0442384300184246,0.130800818853015,0.15869602729035,FALSE,0.0172756055118516,"0.27",0.482695480632921,FALSE,TRUE,-46.2
"IGFLR1",-0.39114359399058,1.43954159703696e-09,3.89204503345682e-08,0.38409025647574,FALSE,0.00583061295875576,"0.73",0.331500724400846,FALSE,FALSE,-5710.4
"IGSF10",-0.107891830064839,0.108096533051406,0.248245067525807,0.152076725465005,FALSE,0.00152479794397586,"0.91",0.879152496492722,FALSE,FALSE,-923.8
"IGSF11",-0.15284306948979,0.0224281718987547,0.0786153108363129,0.182650021319397,FALSE,0.0170362453769316,"0.45",0.433866178377702,FALSE,FALSE,-612
"IGSF21",0.0505420748854809,0.452657092146958,0.637277176905331,0.114439733823193,FALSE,0.0083338842458176,"0.23",0.451277202879522,FALSE,FALSE,-36
"IGSF3",-0.0776703231538657,0.248052447120316,0.435749733534814,0.11897702128027,FALSE,0.000220334055635119,"0.1",0.794422662242111,FALSE,FALSE,0
"IGSF6",-0.0756212655017129,0.260787859701892,0.450036775000681,0.114257462521422,FALSE,0.000683191721147483,"0.77",0.269557513059286,FALSE,FALSE,-3396.6
"IGSF8",0.0723982292170953,0.281715538024813,0.472720677898434,0.120716492446994,FALSE,0.000174531861479671,"0.15",0.155134094420308,FALSE,FALSE,0
"IGSF9",-0.137041978723415,0.0408914746267652,0.123819343154459,0.176198341056431,FALSE,0.00565539331080886,"0.33",0.376806792755167,FALSE,FALSE,-18
"IHH",-0.272124530630108,3.80775775110642e-05,0.000422256334619403,0.284312976864493,FALSE,0.00520682653461662,"0.07",0.565693893365459,FALSE,FALSE,-2
"IK",-0.118491621819552,0.077439669865901,0.195414567259538,0.144733895183168,FALSE,0.000131661575330148,"0.05",0.405697723288184,FALSE,FALSE,0
"IKBKAP",0.00622381943295055,0.926364335756685,0.963803238489599,0.11723424059451,FALSE,0.0143672038717725,"0.56",0.675255327823272,FALSE,FALSE,-721.2
"IKBKB",-0.270489078019646,4.25601836078204e-05,0.00046723921493969,0.257868888385212,FALSE,0.000182645527029186,"0.03",0.275926461890026,FALSE,FALSE,0
"IKBKE",-0.221584251896151,0.000862619945805942,0.00591195576811654,0.231734287359458,FALSE,0.000140629412471631,"0.04",0.156520566303177,FALSE,FALSE,0
"IKZF1",-0.0961209507399979,0.152533463547103,0.313688846527086,0.144160256103719,FALSE,0.0144798574511796,"0.62",0.680242099002556,FALSE,FALSE,-1027.4
"IKZF2",0.104899109874973,0.118291105432338,0.265249296335628,0.148102790058317,FALSE,0.000889913686019418,"0.13",0.394287948174282,FALSE,FALSE,0
"IKZF3",0.154846116970887,0.0207050076930435,0.073759634537805,0.177175597073524,FALSE,0.0036202032453448,"0.21",0.392881950585855,FALSE,FALSE,0
"IL10",-0.309876026864769,2.38078993697322e-06,3.56604215718428e-05,0.295793630057487,FALSE,0.0134485291561062,"0.7",0.294536961577974,FALSE,FALSE,-575.4
"IL10RA",0.00966008971861221,0.885935945067656,0.941866244630008,0.154038779739321,FALSE,0.00671348453204664,"0.34",0.409372270227076,FALSE,FALSE,-284.4
"IL10RB",-0.00119466071067708,0.985846401411721,0.993516062224619,0.104696952019441,FALSE,0.000341930303311808,"0.1",0.343195515184036,FALSE,FALSE,0
"IL11",-0.100326583790709,0.13529419463894,0.289739360535907,0.109827096243162,FALSE,0.0142881435120762,"0.54",0.673234571878271,FALSE,TRUE,-158.6
"IL11RA",-0.178373448882136,0.00758147037871093,0.0337884207275026,0.183132941337282,FALSE,0.000883217685114108,"0.78",0.315634233857807,FALSE,FALSE,-2751.6
"IL12A",-0.0602823093890582,0.370272567194589,0.560652091658716,0.194165974246401,FALSE,0.00287903506352171,"0.25",0.158776505248353,FALSE,FALSE,0
"IL12B",-0.0529525419309319,0.43136477123573,0.619056236100169,0.124296468290588,FALSE,0.010279376865164,"0.53",0.541650568078339,FALSE,FALSE,-12
"IL12RB2",0.0979817359603479,0.144711568852534,0.303479803172687,0.141969254664303,FALSE,0.0156326081692401,"0.3",0.430251479494,FALSE,FALSE,-14
"IL13",-0.0492078066337305,0.464692015100974,0.647645953418099,0.0975766150104249,FALSE,0.000566167913014082,"0.92",0.51344129901094,FALSE,FALSE,-239.8
"IL15",-0.0348507728775204,0.604691644611773,0.758631875977392,0.131647791947481,FALSE,0.000110745567334897,"0.04",0.60333367567805,FALSE,FALSE,0
"IL15RA",0.0874590958671676,0.19319077642692,0.36987702980681,0.198662165562707,FALSE,0.000600662534101651,"0.05",0.851861997825359,FALSE,FALSE,0
"IL16",-0.0943370500545388,0.160328229316375,0.324631503872492,0.191844409778762,FALSE,0.0232209014821833,"0.62",0.516740087200071,FALSE,TRUE,106
"IL17A",0.0211614418197464,0.753318271970288,0.86407665563742,0.0941484372290325,FALSE,0.0066414969965532,"0.71",0.287795540201376,FALSE,FALSE,-263.2
"IL17B",-0.0200711764952608,0.76564807194078,0.871688185439242,0.104620376310015,FALSE,0.0114957885098662,"0.49",0.54581978485595,FALSE,FALSE,-988.8
"IL17D",0.0275534932743546,0.682373269682184,0.815389366752517,0.18452460405093,FALSE,0.004557754113535,"0.41",0.217589221459325,FALSE,FALSE,-2
"IL17F",-0.00680220947364135,0.919543350614332,0.959674176245409,0.0953607767064454,FALSE,0.0136517918439149,"0.54",0.429950497674521,FALSE,FALSE,-165.2
"IL17RA",-0.14018167721105,0.0364443379349138,0.11377273717605,0.149493726258581,FALSE,0.00282290649360004,"0.11",0.347971730010614,FALSE,FALSE,0
"IL17RC",-0.224462571761486,0.000734706030269816,0.00516749086206479,0.248558904076024,FALSE,0.00723875534792359,"0.22",0.169422356226052,FALSE,TRUE,227
"IL17RD",-0.0080347403777897,0.905028266094961,0.952635962999826,0.097612291065969,FALSE,0.00454529472855647,"0.43",0.752284442962234,FALSE,FALSE,0
"IL17RE",-0.27658621281094,2.80046490148678e-05,0.000322381643151622,0.300477145924057,FALSE,0.00335534684378345,"0.26",0.275563712032655,FALSE,FALSE,0
"IL18",0.0268939262773343,0.68957844714082,0.821085932817777,0.0833081728608931,FALSE,0.000707487160908252,"0.21",0.85053370255656,FALSE,FALSE,0
"IL18BP",-0.321041172498572,9.70713434078618e-07,1.57397110879213e-05,0.307238069304468,FALSE,0.0112397381514695,"0.47",0.367731311613892,FALSE,FALSE,-149.2
"IL18RAP",0.0752669118572281,0.26303501579911,0.452677698947339,0.119512178203585,FALSE,0.00899561661301459,"0.36",0.44821339459917,FALSE,FALSE,-48
"IL19",0.0235804942316276,0.726187381480166,0.845711998902213,0.0986200713899288,FALSE,0.0131041162457728,"0.53",0.453663775482228,FALSE,FALSE,-50.6
"IL1A",-0.0593997425094984,0.377332382584637,0.567326384456868,0.126166681431114,FALSE,0.000923000588982921,"0.67",0.603469988014242,FALSE,FALSE,-518.2
"IL1B",-0.316358384145652,1.4204635125914e-06,2.21780448826853e-05,0.313753846946584,FALSE,0.0100472017418756,"0.59",0.319638575692461,FALSE,FALSE,-164.6
"IL1R1",-0.111288609076449,0.0973766186833707,0.23049710462642,0.131810288937874,FALSE,0.00949961125390573,"0.78",0.569455650801941,FALSE,FALSE,-702.6
